City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Vila Franca Do Campo,PT,72.01,light rain,37.7167,-25.4333,Pestana Bahia Praia
2,Ponta Do Sol,PT,72.72,clear sky,32.6667,-17.1,Hotel do Campo
8,Pangai,TO,77.49,scattered clouds,-19.8,-174.35,Ha'apai Beach Resort
12,Kapaa,US,84.18,overcast clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort Hotel
13,Araruama,BR,73.35,light rain,-22.8728,-42.3431,Apartamento Quality
15,Wewak,PG,78.62,overcast clouds,-3.5534,143.6268,In Wewak Boutique Hotel
17,Mizdah,LY,78.21,clear sky,31.4451,12.9801,محمدالمبروك الاريقط
29,Jalu,LY,82.9,clear sky,29.0331,21.5482,صاحبة الفخامة
31,Chateaubelair,VC,81.39,clear sky,13.2833,-61.25,Richmond Vale Diving & Hiking Center
35,Hambantota,LK,78.06,overcast clouds,6.1241,81.1185,Bungalow 63
41,Georgetown,MY,81.9,few clouds,5.4112,100.3354,Cititel Penang
51,Victoria,HK,84.38,overcast clouds,22.2855,114.1577,Mini Central
53,Atuona,PF,76.91,overcast clouds,-9.8,-139.0333,Villa Enata
55,Rikitea,PF,72.48,overcast clouds,-23.1203,-134.9692,People ThankYou
61,Arraial Do Cabo,BR,73.26,moderate rain,-22.9661,-42.0278,Pousada Porto Praia
62,Touros,BR,76.55,clear sky,-5.1989,-35.4608,INN NEW HORIZON
63,Sao Joao Da Barra,BR,75.29,few clouds,-21.6403,-41.0511,Pousada Porto De Canoas
64,Bay Roberts,CA,76.66,broken clouds,47.5999,-53.2648,Stonewall Inn
66,Los Llanos De Aridane,ES,74.12,overcast clouds,28.6585,-17.9182,Valle Aridane
70,Pawayan,IN,79.97,broken clouds,28.0667,80.1,SBM TOILET
71,Cairns,AU,71.55,scattered clouds,-16.9167,145.7667,Mantra Trilogy Cairns
72,Ugoofaaru,MV,80.69,overcast clouds,5.6667,73.0,Ungoofaaru Inn
75,Sampit,ID,70.68,broken clouds,-2.5333,112.95,Aquarius Boutique Hotel Sampit
77,Izberbash,RU,77.09,overcast clouds,42.5696,47.8645,Ramina
78,Butaritari,KI,82.15,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
80,Tautira,PF,75.11,overcast clouds,-17.7333,-149.15,Pension Oaoa
81,Vaini,TO,76.62,broken clouds,-21.2,-175.2,Keleti Beach Resort
83,Cayenne,GF,84.24,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
85,Sola,VU,79.21,few clouds,-13.8833,167.55,Leumerus Bungalows
89,Salalah,OM,76.3,overcast clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
92,Isangel,VU,78.01,clear sky,-19.55,169.2667,Tanna Lodge
93,Namatanai,PG,78.76,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
96,Parrita,CR,81.99,overcast clouds,9.5201,-84.3225,Beso del Viento
97,Alta Floresta,BR,83.93,broken clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
100,Sao Filipe,CV,79.79,light rain,14.8961,-24.4956,Hotel Xaguate
103,Santa Rosa,PH,76.98,light rain,14.3122,121.1114,Erlyn’s Sta Rosa City Home
110,Thompson,CA,75.6,overcast clouds,55.7435,-97.8558,Burntwood Hotel
112,Hithadhoo,MV,81.82,overcast clouds,-0.6,73.0833,Scoop Guest House
120,Bathsheba,BB,84.81,broken clouds,13.2167,-59.5167,Atlantis Hotel
124,Puerto Ayora,EC,76.96,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
126,Avarua,CK,75.25,scattered clouds,-21.2078,-159.775,Paradise Inn
129,Kaifeng,CN,82.45,overcast clouds,34.7911,114.3483,Pullman Kaifeng Jianye
130,Kindu,CD,74.7,overcast clouds,-2.95,25.95,Résidence Okanda
133,Faanui,PF,76.98,broken clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
135,Keti Bandar,PK,81.97,overcast clouds,24.1447,67.4497,Haji laloo memon house
136,Tura,IN,74.75,moderate rain,25.5198,90.2201,Hotel RIKMAN Continental
137,Zlitan,LY,81.18,clear sky,32.4674,14.5687,القسم الداخلي للجامعة الأسمرية
141,Tual,ID,80.08,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
147,Kavaratti,IN,80.55,overcast clouds,10.5669,72.642,Green leaf
154,Sarlat-La-Caneda,FR,71.24,clear sky,44.889,1.2166,Hotel Plaza Madeleine À Sarlat
159,Surt,LY,81.37,clear sky,31.2089,16.5887,الهادي ابوشعاله سرت
162,Lishui,CN,73.92,few clouds,28.4604,119.9103,Bayi Hotel
163,Montecristi,EC,73.22,overcast clouds,-1.05,-80.6667,Balcones del Cerro Hotel - Cabañas
166,Agde,FR,78.87,clear sky,43.3108,3.4758,CAPAO Beach Hôtel
167,Bandarbeyla,SO,75.61,clear sky,9.4942,50.8122,JABIR HOTEL
173,Tripoli,LY,81.73,clear sky,32.8752,13.1875,Al Waddan Hotel
174,Vao,NC,72.25,clear sky,-22.6667,167.4833,Hotel Kou-Bugny
175,Kavieng,PG,81.27,light rain,-2.5744,150.7967,Nusa Island Retreat
177,Lumut,MY,78.17,broken clouds,4.2323,100.6298,"Marina Island Pangkor Resort & Hotel (Suites, Function Rooms and Convention Hall)"
180,Labuhan,ID,74.79,clear sky,-6.8844,112.2051,DoubleFAG
188,Mabaruma,GY,82.58,overcast clouds,8.2,-59.7833,Monty Brooms Guest House
189,Basoko,CD,74.17,overcast clouds,1.2391,23.616,Jackyna Hotel
194,Camapua,BR,81.37,overcast clouds,-19.5314,-54.0439,Comercial Estrela
196,Sorong,ID,77.18,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
197,Bang Saphan,TH,76.42,overcast clouds,11.2126,99.5117,Ladawan Boutique Hotel
198,Kupang,ID,74.14,few clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
199,Kirakira,SB,79.68,overcast clouds,-10.4544,161.9205,SanBiz Lodge
200,Cap-Aux-Meules,CA,72.27,broken clouds,47.3821,-61.8597,Auberge Madeli
207,Panormos,GR,79.02,clear sky,35.4182,24.6909,Kirki Village Ξενοδοχείο
208,Lorengau,PG,81.12,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
209,Waingapu,ID,72.68,clear sky,-9.6567,120.2641,Pondok Wisata Elim
210,Bengkulu,ID,74.46,few clouds,-3.8004,102.2655,Grage Hotel Bengkulu
214,Vaitape,PF,76.95,broken clouds,-16.5167,-151.75,Conrad Bora Bora Nui
215,Ribeira Grande,PT,74.68,light rain,38.5167,-28.7,Quinta da Meia Eira
216,Subtanjalla,PE,75.04,clear sky,-14.0189,-75.7581,Hotel Las Dunas
224,Kota Tinggi,MY,82.44,broken clouds,1.7381,103.8999,Canopy Tribe
229,Praia,CV,81.14,broken clouds,14.9215,-23.5087,LT Aparthotel
230,Banda Aceh,ID,78.89,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
231,North Bend,US,80.24,clear sky,43.4065,-124.2243,Red Lion Hotel Coos Bay
234,Ejido,VE,75.31,overcast clouds,8.5514,-71.2375,Bora Bora Nails & Spa C.A.
238,Daru,PG,77.07,overcast clouds,-9.0763,143.2092,Daru Lodge
239,Makakilo City,US,83.95,few clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
240,Green River,US,84.18,clear sky,41.5286,-109.4662,Hampton Inn & Suites Green River
248,Macheng,CN,82.6,overcast clouds,31.1783,115.0319,Shell Macheng City Macheng Bus Station Hotel
249,Torbay,CA,75.88,scattered clouds,47.6666,-52.7314,Gallows Cove
252,Matehuala,MX,84.78,clear sky,23.65,-100.65,Las Palmas Midway Inn
254,Hirara,JP,84.09,clear sky,24.8,125.2833,Hotel Atoll Emerald Miyakojima
257,Komsomolskiy,UZ,80.71,clear sky,40.4272,71.7189,Ikathouse
259,Aras,ES,75.61,clear sky,42.5617,-2.356,Jardines de Viana Spa
260,Mataram,ID,70.61,few clouds,-8.5833,116.1167,Hotel Santika Mataram
264,Fuling,CN,80.17,overcast clouds,29.7022,107.3919,Yingbin Hostel
268,Dunmore Town,BS,83.39,broken clouds,25.5,-76.65,Coral Sands Hotel
270,Vila Velha,BR,76.95,clear sky,-20.3297,-40.2925,Hotel Vitória Palace
272,Abonnema,NG,76.01,broken clouds,4.7084,6.7931,Corper's Lodge Obonoma
274,Kenscoff,HT,73.54,scattered clouds,18.4506,-72.2869,Auberge Bellecour
276,Bairiki,KI,84.2,few clouds,1.3292,172.9752,Tarawa Boutique Hotel
278,Fortuna,US,72.93,overcast clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
281,Bose,IT,71.19,moderate rain,45.4612,8.0137,Locanda Borgo Antico
284,Bani Walid,LY,76.75,clear sky,31.7566,13.9942,منزل مفتاح محمد الزلبي
288,Tazmalt,DZ,80.19,clear sky,36.3868,4.3989,Hôtel Numédia
291,Basar,IN,73.76,heavy intensity rain,27.9833,94.6667,Dolma Group of Hotels
293,Santa Rita,BR,75.87,few clouds,-7.1139,-34.9781,Infinity Motel
294,Jinchang,CN,70.52,scattered clouds,38.4953,102.1739,Mingshihui Jinchang International Hotel
298,Dandong,CN,75.67,overcast clouds,40.1292,124.3947,Yiranju Farmstay
299,Korla,CN,82.29,clear sky,41.7597,86.1469,Gulisitan Hotel
303,Alofi,NU,76.77,light rain,-19.0595,-169.9187,Taloa Heights
305,Bo Phloi,TH,82.31,overcast clouds,14.3236,99.5161,แอท เมืองพลอย รีสอร์ท At MuangPloy Resort
307,Sibu,MY,72.3,broken clouds,2.3,111.8167,RH HOTEL (4 Star)
310,Sibolga,ID,75.51,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
312,Ankara,TR,73.2,clear sky,39.9199,32.8543,Ramada by Wyndham Ankara
314,Celestun,MX,80.71,broken clouds,20.8667,-90.4,Posada Lilia
317,Nipawin,CA,71.02,scattered clouds,53.3668,-104.0009,Tobin Lake Motel
328,Sao Sebastiao,BR,70.0,overcast clouds,-23.76,-45.4097,Hotel Recanto dos Pássaros
330,Pokhara,NP,72.66,overcast clouds,28.2333,83.9833,OYO 170 Hotel View Point
331,Ucluelet,CA,77.31,clear sky,48.9329,-125.5528,Black Rock Oceanfront Resort
332,Campo Formoso,BR,77.97,scattered clouds,-10.5075,-40.3214,Hotel Rio das Pedras
338,Manta,EC,74.98,overcast clouds,-0.95,-80.7333,Balandra Hotel
339,Cabedelo,BR,75.87,few clouds,-6.9811,-34.8339,Pousada Camboinha
340,Port-Gentil,GA,71.56,few clouds,-0.7193,8.7815,Fengshui Residence
343,Anqiu,CN,81.09,overcast clouds,36.4342,119.1925,Super 8 Anqiu Heping Road Coach Station
344,Kalemie,CD,70.92,clear sky,-5.9475,29.1947,Mahobilali
347,Lagoa,PT,73.56,light rain,39.05,-27.9833,Casa Das Faias
352,Bubaque,GW,79.74,moderate rain,11.2833,-15.8333,"Casa Dora, Bubaque"
353,Timizart,DZ,78.22,clear sky,36.8,4.2667,yefssah restaurant
354,La Ronge,CA,80.85,scattered clouds,55.1001,-105.2842,Northland Motor Hotel
356,Kota Kinabalu,MY,73.38,few clouds,5.9749,116.0724,Gaya Centre Hotel
357,Tomelloso,ES,81.52,few clouds,39.1522,-3.0243,Hotel Altora
358,Yopal,CO,82.17,broken clouds,5.3378,-72.3959,Hotel Camoruco
361,Huaidian,CN,81.09,broken clouds,33.4333,115.0333,Xihuan Hotel
364,Mahibadhoo,MV,81.34,overcast clouds,3.7833,72.9667,Omadhoo Inn
366,Preobrazheniye,RU,72.27,overcast clouds,42.9019,133.9064,Campsite Orlan
367,Muisne,EC,75.87,broken clouds,0.6,-80.0333,Quinta Samay
370,Hasaki,JP,79.2,clear sky,35.7333,140.8333,Inubosaki Kanko Hotel
371,Dingle,PH,73.92,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
373,Constantine,DZ,78.21,clear sky,36.365,6.6147,Grand Hotel Cirta
376,Santa Isabel Do Rio Negro,BR,84.61,overcast clouds,-0.4139,-65.0192,Hotel GSA
380,Kankon,IN,76.8,moderate rain,15.0167,74.0167,Palolem Beach Resort
381,Bontang,ID,74.75,overcast clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
382,Ishigaki,JP,84.33,broken clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
383,Cockburn Town,TC,82.08,broken clouds,21.4612,-71.1419,Osprey Beach Hotel
385,Belmonte,BR,73.22,few clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
387,Nouadhibou,MR,75.18,broken clouds,20.931,-17.0347,El Medina
388,Mont-De-Marsan,FR,73.22,clear sky,44.0,-0.6667,Le moulin vieux
389,Afsin,TR,72.72,few clouds,38.2477,36.914,Afsin Ogretmenevi ASO
396,Hami,CN,84.04,scattered clouds,42.8,93.45,Laoyutang Resort
401,Kushima,JP,78.46,scattered clouds,31.4583,131.2333,Hanaoka
402,Babina,IN,78.76,overcast clouds,25.25,78.4667,Tuntun Dhaba
404,Oistins,BB,84.29,broken clouds,13.0667,-59.5333,Butterfly Beach Hotel
405,Gizo,SB,81.63,broken clouds,-8.103,156.8419,Imagination Island
406,Lahan,NP,82.92,clear sky,26.7296,86.4951,Bhattarai Residence
408,Basco,PH,84.94,overcast clouds,20.4487,121.9702,Nathaniel's Lodge
411,Balabac,PH,80.83,moderate rain,7.9868,117.0645,Batalla’s Lodging House
421,Melfi,IT,70.93,clear sky,40.9965,15.6514,HOTEL TERME DI RAPOLLA
423,Razole,IN,76.41,overcast clouds,16.4833,81.8333,Sterling Palavelli Godavari
425,Rock Sound,BS,83.1,overcast clouds,24.9,-76.2,Pink Corral Bay Property
427,Jacareacanga,BR,84.04,broken clouds,-6.2222,-57.7528,Casa do Ian😎
429,Awjilah,LY,81.97,clear sky,29.1081,21.2869,المنزل
432,Marsh Harbour,BS,83.79,overcast clouds,26.5412,-77.0636,Abaco Beach Resort
436,Kiunga,PG,71.65,very heavy rain,-6.1219,141.2906,Airport Lodge Kiunga
439,Dong Hoi,VN,79.09,overcast clouds,17.4833,106.6,Nam Long Hotel
441,Vicente Guerrero,MX,74.59,overcast clouds,19.1194,-98.1708,Instituto De Seguridad Y Servicios Sociales De Los Trabajadores Del Estado
444,Seydi,TM,81.25,clear sky,39.4816,62.9137,Seydi oteli
445,Vilhena,BR,84.42,scattered clouds,-12.7406,-60.1458,Hotel Mirage
447,Nara,JP,81.72,overcast clouds,34.6851,135.8049,Guesthouse Nara Komachi
453,Prado,BR,74.34,clear sky,-17.3411,-39.2208,INN CORNER RIVER - PRADO - BAHIA - HOUSING AND HOTEL
454,Ischia,IT,82.81,broken clouds,40.7342,13.9471,Hotel Ulisse
455,La Rochelle,FR,73.47,clear sky,46.1667,-1.15,Hôtel Saint Jean d'Acre
458,Paracuru,BR,80.11,clear sky,-3.41,-39.0306,Hotel Vento Brasil
459,Aktau,KZ,79.38,overcast clouds,43.65,51.2,Silk Way Hotel
462,Yamada,JP,75.0,overcast clouds,39.4667,141.95,Iroha-ya Inn
466,Fayaoue,NC,76.86,clear sky,-20.65,166.5333,Chez Dydyce Guesthouse
471,Hobyo,SO,75.33,clear sky,5.3505,48.5268,Halane Hotel and Restaurent
472,Padang,ID,76.69,overcast clouds,-0.9492,100.3543,Mercure Padang
475,Rangapara,IN,80.92,moderate rain,26.8167,92.65,Bidhan
477,Yining,CN,78.22,overcast clouds,29.0361,114.5636,Xiushui Hotel
483,Saint Anthony,US,75.94,overcast clouds,45.0205,-93.218,Holiday Inn Express Roseville-St. Paul
484,Blairmore,CA,80.47,clear sky,49.6,-114.4353,Highwood Motel
485,Suclayin,PH,76.19,light rain,15.7568,121.5503,Costa Pacifica
487,Katsuura,JP,80.58,clear sky,35.1333,140.3,Katsuura Hotel Mikazuki
490,Itoman,JP,82.42,scattered clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
491,Bastia,FR,81.3,clear sky,42.6667,9.3333,Hotel Santa Maria
498,Dayong,CN,75.34,clear sky,25.0209,118.2898,Haiyue Express Hotel
504,Iracoubo,GF,80.26,overcast clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
518,Dinhata,IN,84.02,light rain,26.1333,89.4667,Hotel Ganaraj And restrurent
521,Tangzhai,CN,81.41,overcast clouds,34.4328,116.5911,Huilong Business Hotel
522,Ratnagiri,IN,78.24,light rain,16.9833,73.3,Hotel Landmark
526,Manbij,SY,74.73,clear sky,36.5281,37.9549,Manbej City Hotel
527,Dongsheng,CN,71.1,broken clouds,39.8161,109.9776,Crowne Plaza Ordos
535,Kekri,IN,82.15,overcast clouds,25.9667,75.15,Rajasthani Pavitra Bhojnalaya
539,Buala,SB,81.01,light rain,-8.145,159.5921,Maringe Lagoon Lodge
540,Sidi Ali,DZ,76.28,clear sky,36.0998,0.4206,Complexe touristique haje bezine
541,Zhoucheng,CN,79.81,overcast clouds,35.9122,116.3117,Yingbin Restaurant
542,Gigmoto,PH,77.74,overcast clouds,13.7796,124.39,Cj's Travellers Inn
543,Monrovia,LR,76.06,overcast clouds,6.3005,-10.7969,Sunset Inn
547,Biak,ID,74.7,overcast clouds,-0.9131,122.8766,Penginapan Kim
551,Upata,VE,79.2,overcast clouds,8.0086,-62.3989,Posada Villa Nela
555,Kalmunai,LK,79.41,overcast clouds,7.4167,81.8167,VS Villa
556,Nishihara,JP,81.68,few clouds,26.1842,127.7558,Minshuku Agaihama
560,Ierapetra,GR,80.15,clear sky,35.01,25.7353,Cretan Villa Hotel & Apartments in Ierapetra Crete.
561,Barcelona,ES,82.85,clear sky,41.3888,2.159,Axel Hotel Barcelona
562,Qui Nhon,VN,77.31,overcast clouds,13.7667,109.2333,Seagull Hotel
563,Sanandaj,IR,75.22,clear sky,35.3144,46.9923,Sanandaj Tourist Hotel
564,Myitkyina,MM,75.79,overcast clouds,25.3833,97.4,Shwe Phyu Hotel
568,Gat,IL,79.81,clear sky,31.61,34.7642,OlusHome
569,Kloulklubed,PW,81.64,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
572,Lakheri,IN,81.61,overcast clouds,25.6667,76.1667,प्रहलाद जी सैनी
575,San Pedro,PH,76.23,moderate rain,14.35,121.0167,Palines Apartment and Guesthouse
577,Tezpur,IN,81.54,light rain,26.6333,92.8,Hotel Kanyapur
579,Marigot,MF,83.98,broken clouds,18.0667,-63.0833,"Sonesta Maho Beach Resort, Casino & Spa"
581,Puerto Suarez,BO,75.76,broken clouds,-18.95,-57.8,Hotel casa real
583,Claveria,PH,78.26,light rain,18.6074,121.0832,Casa Grand Inn By The Sea
584,Robertsport,LR,77.32,overcast clouds,6.7533,-11.3686,Kwepunha Retreat
588,Acqui Terme,IT,72.5,overcast clouds,44.6751,8.4675,Hotel Roma Imperiale
592,Veraval,IN,81.18,overcast clouds,20.9,70.3667,Lords Inn Somnath
595,Pulandian,CN,76.6,overcast clouds,39.3953,121.9669,HR East Hotel
596,Nhulunbuy,AU,75.81,scattered clouds,-12.2333,136.7667,East Arnhem Real Estate
599,Marsaxlokk,MT,83.08,clear sky,35.8419,14.5431,Water's Edge
602,Ambulu,ID,73.53,broken clouds,-8.345,113.6058,Hotel Ambulu Jember
604,Eureka,US,75.67,overcast clouds,40.8021,-124.1637,Eureka Inn Trademark By Wyndham
606,Escalerillas,MX,75.07,broken clouds,22.1333,-101.0667,Hilton San Luis Potosi
613,Manono,CD,75.43,clear sky,-7.3,27.4167,Hotel hewa bora
614,Tiarei,PF,80.62,broken clouds,-17.5333,-149.3333,Le Rocher de Tahiti
615,Malanje,AO,70.59,clear sky,-9.5402,16.341,Hotel Ginga
616,Azuaga,ES,78.96,clear sky,38.2667,-5.6833,Casa Rural La Hoya
623,Ascoli Piceno,IT,75.02,overcast clouds,42.8548,13.5749,Hotel Palazzo Guiderocchi
629,Tezu,IN,78.15,scattered clouds,27.9167,96.1667,Circuit House
630,Naze,JP,76.12,clear sky,28.3667,129.4833,Shishime Hotel
632,Vila Do Maio,CV,81.39,overcast clouds,15.1333,-23.2167,Hotel Marilu
635,Seoul,KR,81.97,moderate rain,37.5683,126.9778,LOTTE HOTEL SEOUL
638,Barletta,IT,82.67,clear sky,41.3118,16.2908,Best Western Hotel Dei Cavalieri
642,Sao Jose Da Coroa Grande,BR,75.02,scattered clouds,-8.8978,-35.1478,Crôa Mares Hotel
643,Amahai,ID,75.69,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
644,Sinnamary,GF,79.97,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
645,Kontagora,NG,74.16,overcast clouds,10.3999,5.4695,Queens Guest Inn
646,Lithakia,GR,74.57,few clouds,37.7167,20.8333,Zante Plaza Hotel & Apartments
651,Itarema,BR,78.53,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
658,West Wendover,US,79.81,clear sky,40.7391,-114.0733,"Motel 6 Wendover, UT"
660,Semme,FR,72.01,clear sky,46.1963,1.5007,Inter-Hotel Alexia
661,Khoy,IR,72.73,clear sky,38.5504,44.9535,ترک سل
662,Meulaboh,ID,75.87,broken clouds,4.1363,96.1285,Kost Pria
664,Misratah,LY,82.87,clear sky,32.3754,15.0925,Almasa Hotel
665,Moroni,KM,73.58,clear sky,-11.7022,43.2551,Hotel Les Arcades
670,Sabzevar,IR,81.68,clear sky,36.2126,57.6819,پزشکی قانونی سبزوار
672,El Sauzal,MX,74.41,broken clouds,31.9,-116.6833,Hotel Las Rosas & Spa
675,Roquetas De Mar,ES,82.62,clear sky,36.7642,-2.6148,Mediterráneo Bay Hotel and Resort
678,Chaplynka,UA,75.87,clear sky,46.3651,33.5403,Білий Дім
